ID,Name,PurchasePrice,SellingPrice,Quantity,Type,AdditionalInfo1,AdditionalInfo2
ST7,Notebook Number,414000.0,512000.0,47,Stationary,Lindsey-Deleon,Thomas Noble
ST8,Marker Life,354000.0,490000.0,366,Stationary,"Austin, Summers and Craig",Erik Willis
TO7,Scooter Five,485000.0,667000.0,431,Toy,"Anderson, Harris and Martinez",Destiny Carrillo
ST9,Marker We,401000.0,673000.0,390,Stationary,Haynes-Flores,Whitney Taylor
BO7,Biography Wonder,438000.0,639000.0,270,Book,Tran Ltd,Miguel Martin
BO8,History Compare,63000.0,96000.0,422,Book,"Johnson, Nichols and Liu",Kelsey Quinn
ST10,Scissors Serious,149000.0,231000.0,121,Stationary,Bryant-Smith,David Mccullough
BO9,Biography Standard,299000.0,415000.0,25,Book,Jackson-Hester,Rachel Avila
BO10,Self-help Tree,342000.0,477000.0,163,Book,"Powell, Henry and Henry",Joseph Ramsey
BO11,History Record,456000.0,761000.0,273,Book,Nguyen LLC,Arthur Murray
BO12,Biography Fly,490000.0,797000.0,329,Book,"Davis, Williams and Thompson",Jason Andrade
TO8,Barbie Doll Begin,15000.0,27000.0,481,Toy,Hubbard-Walls,Anthony Johnson
BO13,History Enjoy,406000.0,584000.0,167,Book,Mendez PLC,Kevin Williams
TO9,Drone Dark,276000.0,349000.0,273,Toy,Gilbert Ltd,Kristin Ingram
TO10,Drone Stand,181000.0,292000.0,189,Toy,Lee LLC,Michelle Deleon
TO11,Barbie Doll Reveal,444000.0,627000.0,257,Toy,Guerrero-Edwards,Jesus Diaz
BO14,Self-help Memory,459000.0,631000.0,254,Book,"Scott, Moore and Shepherd",Mary Simpson
TO12,Playset Life,449000.0,685000.0,392,Toy,Jimenez-Johnson,Kyle Spence
BO15,Biography New,145000.0,204000.0,82,Book,Ferguson-Gutierrez,Christy Williams
ST11,Marker Value,402000.0,656000.0,270,Stationary,Wood-Ford,Tammie Oconnor
